,DGMN,Frontal,Prefrontal,Temporal,Parietal,Occipital,Cerebrellum
0,0.5380941815922231,-0.7010019831993533,-2.3645149809515793,0.35103212469998757,0.29516060077778833,0.17352454488947547,1.8783354947857016
1,0.11001032942768063,-1.5708857261054332,-3.196440775187366,-0.054318332049525964,-0.24660214877213987,0.1424593289609573,2.419830003879905
2,-0.06518808896848327,-0.7413116772825823,-1.9695140556065702,-0.37067918527450866,-0.46124160647353846,-0.026181026780415704,1.1538991521116169
3,-2.7649529878547607,1.7173160832702015,4.168144435153689,-2.419434121210138,-1.532479196648407,-0.8917025761411951,-2.560205553735434
4,-1.6945342229428633,0.9965647890683933,1.1134142609120907,-2.3961001685335432,-0.8826394832096127,-1.4529407154523568,-3.4477277030087645
5,-5.817385941284117,-1.5271813185962377,-0.41315831955174787,-3.552567214637992,-1.6208530784333441,-2.115718879762158,-3.996338309740508
6,-5.980890969934309,-2.5080280846197187,-1.448702909245931,-4.927936259270435,-3.2013879046975964,-3.299432507440169,-4.974748658901195
7,-5.417731070670232,-2.7795346653987805,-2.312367069599368,-5.126962362389287,-3.6008703047981143,-3.705335409653528,-6.13443381791696
8,-4.905651441561728,-2.4851311656885624,-2.47896868860731,-4.594230716702082,-3.3625628558661917,-3.309594966340584,-5.684011048528223
9,-3.9604336695052034,-1.5775007828198804,-1.7595515548052063,-3.92900557581511,-2.649902705337812,-2.6746562088715415,-5.073906995151159
10,-4.133273795331643,-1.3073536586192385,-1.2808129648976525,-3.6905489442807617,-2.045903411576016,-1.9781057056339972,-4.513933491340653
11,-4.188028779277012,-1.3070865272438867,-0.7768894676773321,-3.9161405717510367,-2.2523643860928835,-1.9693129124082651,-4.913992272237203
12,-4.528861199932242,-1.58715537363696,-0.7809572229669648,-4.106190120376093,-2.155698742390297,-2.136060141881446,-4.747277374488458
13,-4.170962768494144,-1.3817214072215227,-0.7237325684190026,-3.8765906455330867,-2.0225195463219143,-2.132563667564207,-4.222652789078432
14,-4.339329881515731,-1.470461175952128,-0.9538930895682363,-3.848484332310062,-2.160113112974743,-2.316117511273056,-4.2694373420875005
15,-4.410785403680341,-1.6949864220245345,-1.4328564118437868,-3.9078845056342364,-2.741026548953554,-2.7866714449613954,-4.622348553225583
16,-4.3626710233426,-1.8109412173381885,-1.8661270057859447,-3.902880102595575,-2.878593701978416,-2.834368727541751,-4.827771581777277
17,-3.978977238346978,-1.807744693870888,-1.9950191376529283,-3.9076252663550366,-2.7037057233745982,-2.5266962108325393,-4.9400377515024445
18,-4.1560431295913105,-1.6319078610181939,-1.592657641112769,-3.8471757762131045,-2.5500113182476034,-2.3403460530735836,-4.840759135034592
19,-4.308460331582362,-1.508845882507269,-1.1140847965453418,-3.8307820024163757,-2.6668205972960566,-2.3715380144148903,-5.020430714772126
20,-4.25028999861097,-1.6170760890696214,-1.771531547058796,-3.87669319463612,-2.7099270758668688,-2.6012310406870074,-5.060200698335894
21,-4.027016336027129,-1.4850471061343204,-1.4270547563496656,-3.645489137312984,-2.69394234179972,-2.7950375374252436,-5.0092219233761535
22,-4.275396437566879,-1.6776150112163128,-1.5346846001847965,-3.8369649488093063,-2.8771835992156882,-2.8272018859421877,-5.203326069063842
23,-4.321379543303099,-1.7744367663537808,-1.7611801191122929,-3.823079840438015,-2.759458477411679,-2.8728408981921123,-5.362124314133518
24,-4.216858081309914,-1.7416361492701762,-1.702387073695622,-3.7810789207101867,-2.4803362553469186,-2.5978953962968094,-5.191915699060813
25,-4.21588282037621,-1.6158142294221078,-1.878910100588417,-3.929915171618758,-2.5139476193741688,-2.8029394004183823,-5.083819947066231
26,-3.6293283689962568,-1.14345038565463,-1.7140116825837204,-3.4410105137543083,-2.2965713579984155,-2.7535965673868685,-4.384592728272731
27,-3.7462404433634653,-1.1835976943834672,-1.5431484729083564,-3.49966807372374,-2.2383278776042723,-2.5972499036574326,-4.6250869990510814
