,DGMN,Frontal,Prefrontal,Temporal,Parietal,Occipital,Cerebrellum
0,-2.227481899260434,-0.10288083139678796,0.9868004189767099,-2.1683553298869516,-1.7299853881927938,-1.68553432213943,-4.549385992093568
1,-2.1215239114727016,-0.05451007274413978,0.9227461540518966,-2.0801592735023036,-1.4310799474705824,-1.430126040927131,-3.994141701069739
2,-1.9840311719970192,-0.21558706729776908,0.6698013307016737,-2.103589689175546,-1.5119875389358157,-1.5016338403074425,-3.992256023486687
3,-1.5800548707667286,-0.24621211911282936,0.7418644427042551,-1.9082006072181834,-0.9779665215164648,-1.1182376214296528,-3.360904074379907
4,-1.2105297719743522,-0.12047428836447048,0.3950302629329556,-1.5145699993608304,-1.0922523419492456,-1.2254378930697203,-3.161800349205961
5,-1.2292358189733097,-0.24120051851886937,0.20930657905187644,-1.4095576114296717,-1.2756704363578166,-1.202222683961942,-3.1510032423522127
6,-1.2867746314220927,-0.2050188632528964,0.22743639421161888,-1.4071133597198964,-0.7816797468285749,-1.0095474853753825,-2.8289199108334815
7,-1.2373893884462408,-0.5015957450788714,-0.0814283516605947,-1.2084079100266985,-1.2170852310506426,-1.1348989175956905,-2.6555831177077702
8,-1.2275508722163728,-0.7659904212586561,-0.5134714968746472,-1.1714610328966844,-1.1402107552114855,-1.1779499350430314,-2.6373690830555794
9,-0.5456240040517102,-0.6453811705891804,-0.41270070384317137,-0.8320576982779557,-1.061715713184541,-0.9957291826007822,-2.056103779015071
10,-0.39932557646124955,-0.10766837386768202,0.3705594605066942,-0.5006651812977339,-0.5459016541104639,-0.6384516105530957,-2.092842695449247
11,-0.5520763219215077,-0.2558936065565831,0.09554853929251905,-0.6306781069820602,-0.8081705323886318,-0.7463807884260751,-2.0171055801787805
12,-0.5102759274416968,-0.30826598388442056,-0.282707224989327,-0.6823397554709106,-0.9896374865624644,-0.8471821602848512,-1.6804016216468942
13,-0.16145432876720633,-0.1450069807198198,-0.07397333478380475,-0.38164471630707647,-0.6258570107693956,-0.6457047206096443,-1.5917401540693557
14,-0.557460756257937,-0.7090293769012651,-0.7807060409769093,-0.663569954989283,-0.8863996938314976,-0.7663166756059384,-1.781446689472328
15,0.20858142841743899,-0.700361811896427,-0.9476860542219043,-0.23881567672476997,-0.53085858693115,-0.536941043980289,-0.9296511578603835
16,0.08165034706946095,-0.7899964158508936,-1.032451035892219,-0.13926766210047378,-0.49392044994448836,-0.47575991151901825,-0.33743732110159474
17,-0.0028126794834832936,-0.6696164311029545,-0.6430167784412752,-0.17460059014110063,0.16578615418359136,0.07898045724835205,0.7053951323444286
18,0.46323546475062827,-0.6037072239462001,-0.9525587516849612,0.08739901264124615,-0.2552994143354482,-0.34751768666357,0.16549048648242
19,0.353955982817844,-0.5799157433246129,-1.1542531655669919,-0.09099267536200015,-0.3543761193517021,-0.44761906506264637,-0.3558371828866035
20,1.074136575871858,-0.7000775096097633,-1.492480549258211,0.2689982813458236,-0.1153687213015587,-0.2711016268125976,0.6467675660869995
21,1.1552293015251145,-0.7717560571435581,-1.597499598557512,0.5262765322360426,-0.05096409228015801,0.09085379462777711,1.3476589997439894
22,0.40617858186984,-0.9582449943413448,-1.0971179717391522,0.338738417049216,-0.3986824382714225,-0.08334372865948884,0.8145806231976329
23,0.40971062885129506,-1.2602356925971738,-1.5971607540716128,0.1897383511033155,-0.6972741816731037,-0.3080598426805961,0.6363769072374011
24,0.7555718710849249,-0.7248872207407957,-0.854981102411724,0.3257260378034378,-0.2480131220256588,0.07520022618734654,0.4750460725987301
25,0.760315585514757,-0.903448535935071,-0.9401608353352167,0.22490936850630694,-0.34803130336518395,-0.011228584683253067,0.7263962788737419
26,0.9603028456135014,-0.914924876399159,-1.2604272512064405,0.32449025239371887,-0.10100785543502297,0.0369822906227658,0.7927983160570213
27,0.7011243706540782,-1.4179767415689755,-1.8037299278265806,0.35906375057204604,-0.6991451807896482,-0.21022529518565644,1.224881159928101
28,0.7945497624226032,-0.6539987966496429,-1.4601330219895168,0.5750927663927324,-0.01919274062779124,0.06971563339133269,0.9860806799773797
29,0.7603482397962882,-0.5252171461809173,-1.1005684538981129,0.4624190487637408,0.14549264732361636,0.039856738235183035,1.3150839653350685
30,0.6332245985270735,-0.7541222638362868,-1.286026090060023,0.2238931534346113,-0.19723753593737925,-0.06440260168420966,0.815398670014672
31,0.4806992340271137,-0.8851351434963942,-1.1294052202746094,0.2669405015811922,-0.41945706320430887,-0.02968216244500001,0.9532332331089841
32,0.43457423013415664,-1.0203288946114002,-1.2005144543710458,0.24834312583320248,-0.3664512081118566,-0.07944464964068183,0.700494969919377
33,0.517077650202463,-0.6728867682691955,-0.7331219433945542,0.15404839551337027,-0.11530330175821249,-0.0841021432267023,0.7763885887192353
34,-0.11675975354636137,0.7043095346852349,1.034928178421346,0.3417375525200144,0.21864906316503224,0.8605886056783346,0.027881958277218972
35,-2.72669699527421,0.9060650963477289,2.273737929842561,-2.034291840789537,-0.6750591219857419,-0.5829721385263501,-2.2448706030588492
36,-3.971888117619388,-0.21748858644069846,1.5384335815890502,-3.184660160374652,-1.4245916808111416,-1.5116487401082017,-3.5414226105853106
37,-4.161614794076998,-0.4947042326986164,0.6311639828248445,-3.1740088082728914,-1.90556187495921,-1.9414655702207608,-4.3217783730953965
